Player,PlayersNthBuzzerBeater,Date,Year,Team,Location,Opp,Margin,Type,Assisted,AssistedGrouped,Distance,Minutes,PTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,GmSc
Spencer Dinwiddie,1,3/16/2022,2022,DAL,Away,BRK,-1,3-pt FG,L. Don?i?,Assisted,26,33.28333333,22,6,14,0.429,2,6,0.333,8,8,1,4,3,3,0,19.1
Cameron Johnson,1,3/4/2022,2022,PHO,Home,NYK,-2,3-pt FG,C. Payne,Assisted,31,28.21666667,38,11,16,0.688,9,12,0.75,7,8,0.875,2,0,1,0,32
Kelly Olynyk,1,2/27/2022,2022,DET,Away,CHO,-1,2-pt FG,K. Hayes,Assisted,14,24.16666667,20,7,13,0.538,4,5,0.8,2,2,1,8,3,2,0,20.6
Monte Morris,1,2/16/2022,2022,DEN,Away,GSW,-2,3-pt FG,N. Joki?,Assisted,27,31.46666667,13,4,6,0.667,2,4,0.5,3,3,1,4,6,0,0,14
Stephen Curry,1,1/21/2022,2022,GSW,Home,HOU,0,2-pt FG,unassisted,Unassisted,20,38.93333333,22,6,21,0.286,4,13,0.308,6,8,0.75,4,12,1,1,17
RJ Barrett,1,1/6/2022,2022,NYK,Home,BOS,0,3-pt FG,A. Burks,Assisted,25,33.33333333,13,4,15,0.267,2,4,0.5,3,4,0.75,3,6,0,0,7
DeMar DeRozan  ,3,1/1/2022,2022,CHI,Away,WAS,-2,3-pt FG,C. White,Assisted,24,35.25,28,10,22,0.455,1,1,1,7,10,0.7,9,5,0,0,17.2
DeMar DeRozan  ,2,12/31/2021,2021,CHI,Away,IND,-1,3-pt FG,unassisted,Unassisted,27,35.1,28,8,24,0.333,1,3,0.333,11,12,0.917,3,6,3,0,18.7
Chimezie Metu,1,12/29/2021,2021,SAC,Home,DAL,-2,3-pt FG,D. Fox,Assisted,23,20.21666667,11,4,8,0.5,3,5,0.6,0,0,,8,0,1,1,10.7
Shai Gilgeous-Alexander,1,12/18/2021,2021,OKC,Home,LAC,-2,3-pt FG,M. Muscala,Assisted,27,35.81666667,18,8,16,0.5,2,5,0.4,0,0,,3,6,1,0,12.5
Devonte' Graham,1,12/15/2021,2021,NOP,Away,OKC,0,3-pt FG,J. Hart,Assisted,61,33.4,15,5,14,0.357,5,10,0.5,0,1,0,4,8,1,0,13.2
Luka Don?i?  ,3,11/6/2021,2021,DAL,Home,BOS,0,3-pt FG,unassisted,Unassisted,26,35.06666667,33,12,21,0.571,5,10,0.5,4,4,1,9,5,0,1,22.8
Harrison Barnes  ,3,10/27/2021,2021,SAC,Away,PHO,0,3-pt FG,D. Fox,Assisted,27,38.7,22,10,18,0.556,2,6,0.333,0,0,,9,4,0,0,18.7
Ben Simmons,1,5/2/2021,2021,PHI,Away,SAS,0,2-pt FG,unassisted,Unassisted,0,34.76666667,5,2,6,0.333,0,0,,1,5,0.2,6,5,2,0,5.5
Bam Adebayo,1,4/18/2021,2021,MIA,Home,BRK,0,2-pt FG,unassisted,Unassisted,13,32.65,21,9,16,0.563,0,0,,3,5,0.6,15,5,2,0,16.4
Luka Don?i?  ,2,4/14/2021,2021,DAL,Away,MEM,-2,3-pt FG,M. Kleber,Assisted,25,34.26666667,29,10,20,0.5,3,10,0.3,6,9,0.667,5,9,2,1,23.7
Gary Trent Jr.,1,4/5/2021,2021,TOR,Home,WAS,-1,3-pt FG,unassisted,Unassisted,26,31.2,16,7,15,0.467,2,6,0.333,0,0,,2,2,0,0,9.5
Harrison Barnes  ,2,3/27/2021,2021,SAC,Home,CLE,-1,3-pt FG,D. Fox,Assisted,26,36.46666667,16,6,10,0.6,1,3,0.333,3,4,0.75,11,0,0,0,9.9
Tony Snell,1,3/11/2021,2021,ATL,Away,TOR,-2,3-pt FG,T. Young,Assisted,25,26.46666667,6,2,4,0.5,2,3,0.667,0,0,,4,2,0,0,5.8
Luguentz Dort,1,2/24/2021,2021,OKC,Home,SAS,0,3-pt FG,A. Horford,Assisted,23,30.73333333,16,6,12,0.5,4,7,0.571,0,0,,4,1,0,0,10.3
Terry Rozier,1,2/20/2021,2021,CHO,Home,GSW,0,2-pt FG,unassisted,Unassisted,20,38.9,36,12,19,0.632,8,11,0.727,4,4,1,3,4,1,0,28.6
Damian Lillard  ,3,1/30/2021,2021,POR,Away,CHI,-2,3-pt FG,unassisted,Unassisted,26,36.45,44,15,26,0.577,8,17,0.471,6,6,1,5,9,1,0,35.8
Cole Anthony,1,1/20/2021,2021,ORL,Away,MIN,-2,3-pt FG,unassisted,Unassisted,25,27.95,13,5,7,0.714,3,3,1,0,0,,7,3,0,1,12.8
Buddy Hield  ,2,12/23/2020,2020,SAC,Away,DEN,0,2-pt FG,unassisted,Unassisted,0,41.11666667,22,7,15,0.467,5,11,0.455,3,3,1,4,3,1,0,14
