region_id,country_name,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year
SSF,Angola,8036.69043,51.8,6.7,4.4,11.5,11.9,13.5,0,0,0,25096150,0,0,92000,0,0,5495.95,4213643.585
ECS,Albania,13724.05859,51.4,4.5,4.8,15.21,9.9,9.6,0,4.6,0,2854191,0,203009,20000,5714.82,270269,114.3,1087446.75
ECS,Andorra,43711.80078,31.2,8.2,2.6,11.6,35.1,11.3,0,0,0,82431,0,0,0,1788,0,0,43000
MEA,United Arab Emirates,67119.13281,39,4,3,10,25,19,0,0,0,9770529,493106,2876313,134000,57525,3306644,4573,5617682
LCN,Argentina,23550.09961,38.74,3.16,1.84,15.36,13.96,14.61,1.26,1.09,9.95,42981516,0,0,291700,310044,0,0,17910550
ECS,Armenia,11019.83887,57,3.2,3.4,17.4,6.7,11.4,0.3,0.6,0,2906220,1570,7820,14000,62270,47310540,0,492800
EAS,American Samoa,11113.44238,19.7,3.4,7.9,25.6,26.4,12.8,4.2,0,0,55599,0,0,0,0,0,0,18989.49
LCN,Antigua and Barbuda,17965.50195,46,7,7,12,15,13,0,0,0,96777,0,0,1100,0,0,0,30585
EAS,Australia,47784.17969,48.44,3.81,19.38,3.46,17.3,7.61,0,0,0,23789338,0,20000000,574000,7000000,31000000,0,13345000
ECS,Austria,56029.61328,31.4,7,4.4,18.5,19.7,11.1,0,7.9,0,8877067,1887723,42423893,166174,1272288,0,696748,5219715.5
ECS,Azerbaijan,14853.91016,45.19,5.28,3.49,13.73,10.93,7.87,3.09,0,10.42,9649341,0,0,63000,296979.4,0,0,2930349
SSF,Burundi,839.7785034,81,2.9,2.1,3.2,7.3,3.5,0,0,0,6741569,0,0,5000,0,0,0,1872016
ECS,Belgium,51914.91406,14.18,3.1,1.91,40.14,18.38,13.94,0,2.37,5.84,11484055,5635143,35824399,603575,2946195,0,2397368,4765883
SSF,Benin,2227.352295,52.1,1.6,1.6,34.3,3.1,7.3,0,0,0,5521763,0,0,8200,0,0,1698,685936.01
SSF,Burkina Faso,1925.331177,21,1,1,61,7,9,0,0,0,18110624,0,0,11000,7871,0,0,2575251.11
SAS,Bangladesh,3195.737061,80.58,0.44,0.5,8.59,3.04,4.67,1.08,0,1.1,155727056,65000000,0,142000,114358,26884,12271,14778497.33
ECS,Bulgaria,22279.36133,24.35,5.83,1.98,17.93,14.18,12.15,1.96,2.48,19.18,7025037,983646,172369117,53785,12206169,0,518228,2859190
MEA,Bahrain,47937.77734,59.1,3.4,2.1,15.2,12.8,7.4,0,0,0,1425171,0,570099.67,20000,31000,140000,911000,951942.9695
LCN,"Bahamas, The",35400.08203,46,7,7,12,15,13,0,0,0,386838,0,0,4900,0,0,0,264000
ECS,Belarus,18307.51953,30,8,2,35,5,12,6,2,0,9489616,0,0,72000,1336926,0,0,4280000
LCN,Belize,7259.024414,47,8,5,5,16,19,0,0,0,359288,0,0,2300,0,0,188,101378.8303
NAC,Bermuda,80982.36719,17,9,6,26,29,13,0,0,0,64798,0,0,0,525,0,0,82000
LCN,Bolivia,7984.413574,55.1969112,2.903474903,2.501930502,22.7027027,6.501930502,10.19305019,0,0,0,10724705,0,0,35392,545183,0,4683,2219052
LCN,Brazil,14596.24609,51.4,2.4,2.9,16.7,13.1,13.5,0,0,0,208494896,0,45158165,1411900,0,0,260063,79069584
LCN,Barbados,15444.74609,18.3,3.7,4.9,5.7,19.7,17.1,12.1,0,18.6,280601,0,184957,3800,9410.337,0,0,174815.4444
EAS,Brunei Darussalam,60865.98828,36,3,4,15,18,16,1,1,6,423196,0,0,7700,0,0,195,216253.156
SAS,Bhutan,6743.016113,58,4,1,7,17,13,0,0,0,686958,0,0,1457.5,0,1476.37,358,111314.05
