ZIP,ZCTA
99553,99553
99571,99571
99583,99583
99612,99612
99661,99661
99546,99546
99547,99547
99591,99591
99638,99638
99660,99660
99685,99685
99692,99692
99501,99501
99502,99502
99503,99503
99504,99504
99505,99505
99506,99506
99507,99507
99508,99508
99509,99501
99510,99510
99511,99516
99513,99513
99514,99501
99515,99515
99516,99516
99517,99517
99518,99518
99519,99519
99520,99501
99521,99501
99522,99501
99523,99501
99524,99501
99529,99502
99530,99502
99540,99540
99567,99567
99577,99577
99587,99587
99599,99503
99695,99695
99545,99559
99551,99551
99552,99552
99557,99557
99559,99559
99561,99561
99575,99575
99578,99578
99589,99589
99607,99607
99609,99609
99614,99614
99621,99621
99622,99622
99626,99626
99630,99630
99634,99634
99637,99637
99641,99641
99651,99651
99655,99655
99656,99656
99668,99668
99679,99679
99680,99680
99681,99681
99690,99690
99613,99613
99633,99633
99670,99670
99704,99704
99729,99729
99743,99743
99744,99744
99755,99755
99555,99555
99569,99569
99576,99576
99580,99580
99628,99628
99636,99636
99678,99678
99701,99701
99702,99702
99703,99703
99705,99705
99706,99706
99707,99701
99708,99709
99709,99709
99710,99701
99711,99701
99712,99712
99714,99714
99716,99712
99725,99709
99775,99775
99790,99790
99827,99827
99801,99801
99802,99801
99803,99801
99811,99801
99812,99801
99821,99801
99824,99824
99850,99801
99556,99556
99568,99568
99572,99572
99603,99603
99605,99605
99610,99610
99611,99611
99631,99631
99635,99611
99639,99639
99663,99663
99664,99664
99669,99669
99672,99672
99682,99682
99901,99901
99928,99901
99950,99901
99550,99550
99608,99615
99615,99615
99619,99615
99624,99624
99643,99643
99644,99644
99697,99615
99554,99554
99563,99563
99581,99581
99585,99585
99604,99604
99620,99620
99632,99632
99650,99650
99657,99657
99658,99658
99662,99662
99666,99666
99548,99548
99549,99549
99564,99564
99565,99565
99579,99579
99606,99606
99625,99625
99640,99640
99647,99647
99648,99648
99649,99649
99653,99653
99623,99654
99629,99654
99645,99645
99652,99652
99654,99654
99667,99667
99674,99674
99676,99676
99683,99683
99687,99654
99688,99688
99694,99694
99659,99659
99671,99671
99684,99684
99739,99739
99742,99742
99753,99753
99762,99762
99769,99769
99771,99771
99772,99772
99778,99778
99783,99783
99784,99784
99785,99785
99721,99721
99723,99723
99734,99734
99747,99747
99759,99759
99766,99766
99782,99782
99789,99789
99791,99791
99727,99727
99736,99736
99749,99749
99750,99750
99751,99751
99752,99752
99761,99761
99763,99763
99770,99770
99773,99773
99786,99786
99903,99903
99918,99918
99919,99919
99921,99921
99922,99922
99923,99923
99925,99925
99926,99926
99927,99927
99835,99835
99689,99689
99820,99820
99825,99825
99826,99826
99829,99829
99832,99832
99840,99840
99841,99841
99731,99737
99732,99732
99737,99737
99738,99738
99764,99764
99776,99776
99780,99780
99566,99566
99573,99573
99574,99574
99586,99586
99588,99588
99677,99677
99686,99686
99693,99693
99830,99830
99833,99833
99836,99836
99929,99929
99558,99558
99590,99590
99602,99602
99627,99627
99665,99665
99675,99627
99691,99691
99720,99720
99722,99722
99724,99724
99726,99726
99730,99730
99733,99733
99740,99740
99741,99741
99745,99745
99746,99746
99748,99748
99754,99754
99756,99756
